customer_id,first_name,last_name,email,phone,signup_date,segment,city,state,lifetime_value
C000000,Danielle,Johnson,danielle.johnson0@yahoo.com,332-181-9600,2023-11-01,premium,East William,AK,625.27
C000001,Anna,Baldwin,anna.baldwin1@hotmail.com,863-794-0265,2024-08-13,standard,East Susan,MA,5580.27
C000002,Curtis,James,curtis.james2@yahoo.com,594-078-1618,2024-09-06,premium,Barbaraland,AZ,16917.49
C000003,Donna,Mejia,donna.mejia3@gmail.com,316-475-2553,2026-04-15,new,Jacquelineland,PA,2173.47
C000004,Cynthia,Ferguson,cynthia.ferguson4@gmail.com,276-483-5030,2024-10-11,standard,Adamsborough,PW,744.93
C000005,Sherri,Walter,sherri.walter5@yahoo.com,376-724-2388,2024-07-21,standard,Hurstfurt,MN,12633.88
C000006,Jeffrey,Bright,jeffrey.bright6@hotmail.com,710-122-6916,2025-01-21,standard,Riceside,VI,4970.94
C000007,Sherri,Frazier,sherri.frazier7@gmail.com,845-146-2704,2025-07-25,premium,New Rita,VI,13623.54
C000008,Colleen,Skinner,colleen.skinner8@hotmail.com,932-528-8095,2025-07-07,standard,North Sarahport,IA,14731.64
C000009,Brian,Humphrey,brian.humphrey9@gmail.com,171-822-7824,2025-09-05,vip,Brandtside,WV,162.47
C000010,Jessica,Harris,jessica.harris10@yahoo.com,657-871-3315,2023-07-11,vip,New Jeffrey,CA,17453.48
C000011,Jean,Brown,jean.brown11@gmail.com,051-834-7382,2025-11-12,standard,Sanchezfort,AS,3886.99
C000012,Richard,Davis,richard.davis12@hotmail.com,656-670-1065,2023-11-25,new,East James,NV,8414.86
C000013,Donald,White,donald.white13@yahoo.com,317-810-8013,2024-02-22,standard,Tuckerborough,VI,2417.91
C000014,Richard,Brown,richard.brown14@yahoo.com,064-746-8723,2024-09-11,vip,North Beth,ND,15093.15
C000015,Bruce,Edwards,bruce.edwards15@gmail.com,978-820-8121,2025-12-19,vip,Lake Michellefurt,DE,18243.29
C000016,Shelly,Hudson,shelly.hudson16@hotmail.com,909-169-9854,2024-04-21,standard,Johnfurt,DC,24327.89
C000017,Emily,Evans,emily.evans17@yahoo.com,107-991-1838,2024-07-24,standard,West Nicole,FM,13801.02
C000018,John,Mitchell,john.mitchell18@yahoo.com,849-808-4124,2023-12-05,vip,Lake Angelaview,LA,15462.99
C000019,Cassandra,Robbins,cassandra.robbins19@gmail.com,487-401-6400,2024-11-08,new,Lake Tina,GA,14433.8
C000020,Joyce,Arnold,joyce.arnold20@yahoo.com,801-128-0598,2024-01-25,premium,Andersonport,MN,1145.61
C000021,Rachel,Flynn,rachel.flynn21@gmail.com,533-158-6923,2024-02-16,standard,South Angel,WA,7234.7
C000022,Sandra,Patton,sandra.patton22@yahoo.com,342-160-7337,2024-12-03,standard,Loribury,IN,5819.77
C000023,Andrew,Lee,andrew.lee23@yahoo.com,414-586-8501,2024-07-18,standard,New Sydney,KS,6949.34
C000024,Benjamin,Carlson,benjamin.carlson24@yahoo.com,569-816-9340,2025-04-16,premium,New Saraside,TX,9120.8
C000025,Jennifer,Harmon,jennifer.harmon25@hotmail.com,356-159-5148,2024-10-01,standard,Nguyenport,OH,5237.68
C000026,David,Fisher,david.fisher26@yahoo.com,299-468-0443,2025-04-06,standard,Stevenmouth,TX,23416.36
C000027,Jason,Kennedy,jason.kennedy27@hotmail.com,214-895-1343,2024-04-13,premium,North Brandon,NJ,15228.28
C000028,Cheryl,Mack,cheryl.mack28@yahoo.com,693-676-3201,2025-03-30,standard,East Linda,UT,18228.17
C000029,April,Williams,april.williams29@gmail.com,172-788-9579,2025-08-01,standard,Rivasside,NV,9486.39
C000030,Phyllis,Manning,phyllis.manning30@yahoo.com,743-487-3471,2024-08-25,new,West Matthew,MH,15999.99
C000031,Amber,Taylor,amber.taylor31@gmail.com,623-166-5876,2023-09-13,premium,Port Robert,MH,17115.36
