record_id,source_system,first_name,last_name,email,email_id,phone,phone_id,address_id,dob,ground_truth_id,last_invoice_total,payment_method
R0000002,BILLING,Danielle,Johnson,danielle.johnson0@yahoo.com,EM000000,1043321819,PH000000,AD000000,1963-12-20,0,1872.64,card
R0000005,BILLING,Michael,Cooper,michael.cooper2@yahoo.com,EM000002,+13863794026,PH000002,AD000002,1965-12-11,2,1626.86,paypal
R0000009,BILLING,Amanda,Sanchez,amanda.sanchez4@yahoo.com,EM000004,+15940781618,PH000004,AD000004,1995-01-15,4,563.59,card
R0000013,BILLING,Courtnoy,Conner,courtney.conner6@yahoo.com,EM000006,316-475-2553,PH000006,AD000006,1994-01-20,6,448.97,card
R0000014,BILLING,Matthew,Carter,matthew.carter7@gmail.com,EM000007,+14192832764,PH000007,AD000007,1971-05-13,7,413.21,card
R0000017,BILLING,Hannah,Marquez,hannah.marquez9@yahoo.com,EM000009,3953767242,PH000009,AD000009,1972-12-02,9,1373.7,paypal
R0000020,BILLING,Chad,Young,chad.young10@hotmail.com,EM000010,3884969653,PH000010,AD000010,1954-02-14,10,1936.12,paypal
R0000024,BILLING,Christopher,Lopez,christopher.lopez14@hotmail.com,EM000014,+18281489325,PH000014,AD000014,1968-03-07,14,982.55,card
R0000027,BILLING,Mike,Moore,mike.moore16@hotmail.com,EM000016,4303911718,PH000016,AD000016,1973-10-08,16,247.31,card
R0000031,BILLING,James,Walters,james.walters17@yahoo.com,EM000017,227-824-8963,PH000017,AD000017,1960-07-30,17,1661.4,paypal
R0000032,BILLING,Amy,Davenpokt,amy.davenport18@hotmail.com,EM000018,834-657-8713,PH000018,AD000018,1978-02-02,18,1999.64,paypal
R0000035,BILLING,Tfrri,Brady,terri.brady19@gmail.com,EM000019,315-098-3930,PH000019,AD000019,1981-10-04,19,1294.34,paypal
R0000039,BILLING,Michael,Hoover,michael.hoover20@gmail.com,EM000020,+11031051834,PH000020,AD000020,1958-04-14,20,80.88,ach
R0000042,BILLING,Gloria,Bentley,gloria.bentley22@hotmail.com,EM000022,+13116566701,PH000022,AD000022,1997-11-18,22,1026.83,paypal
R0000047,BILLING,Emma,Dixon,emma.dixon24@hotmail.com,EM000024,624-731-7810,PH000024,AD000024,1960-06-18,24,212.66,paypal
R0000050,BILLING,Gaegory,Rubio,gregory.rubio26@hotmail.com,EM000026,+10260647468,PH000026,AD000026,2001-01-15,26,1392.06,card
R0000054,BILLING,Jason,Perry,jason.perry28@yahoo.com,EM000028,(009) 788-2081,PH000028,AD000028,2000-06-05,28,667.7,card
