record_id,source_system,first_name,last_name,email,email_id,phone,phone_id,address_id,dob,ground_truth_id,account_status
R0000001,CRM,Danielle,Johnson,danielle.johnson0@yahoo.com,EM000000,104-332-1819,PH000000,AD000000,1963-12-20,0,active
R0000003,CRM,Jennifer,Miles,jennifer.miles1@yahoo.com,EM000001,6001338908,PH000001,AD000001,1957-01-06,1,lapsed
R0000006,CRM,Michael,fooper,michael.cooper2@yahoo.com,EM000002,+13863794026,PH000002,AD000002,1965-12-11,2,vip
R0000010,CRM,Amanda,Sanchez,amanda.sanchez4@yahoo.com,EM000004,5940781618,PH000004,AD000004,1995-01-15,4,vip
R0000011,CRM,Victor,Wilkerson,victor.wilkerson5@hotmail.com,EM000005,495-931-0341,PH000005,AD000005,1960-11-01,5,active
R0000012,CRM,Courtniy,Conner,courtney.conner6@yahoo.com,EM000006,(316) 475-2553,PH000006,AD000006,1994-01-20,6,active
R0000016,CRM,John,Allen,john.allen8@hotmail.com,EM000008,(835) 030-5641,PH000008,AD000008,2000-02-09,8,vip
R0000018,CRM,Hannah,Marquez,hannah.marquez9@yahoo.com,EM000009,3953767242,PH000009,AD000009,1972-12-02,9,active
R0000022,CRM,Lindsey,Chase,lindsey.chase12@gmail.com,EM000012,+11669784801,PH000012,AD000012,1961-08-22,12,lapsed
R0000023,CRM,Nicholas,Galloway,nicholas.galloway13@yahoo.com,EM000013,8451462704,PH000013,AD000013,1984-12-29,13,lapsed
R0000030,CRM,James,Walters,james.walters17@yahoo.com,EM000017,227-824-8963,PH000017,AD000017,1960-07-30,17,lapsed
R0000036,CRM,Terri,Brady,terri.brady19@gmail.com,EM000019,(315) 098-3930,PH000019,AD000019,1981-10-04,19,lapsed
R0000038,CRM,Michael,Hoover,michael.hoover20@gmail.com,EM000020,1031051834,PH000020,AD000020,1958-04-14,20,lapsed
R0000041,CRM,Natalie,Grejn,natalie.green21@hotmail.com,EM000021,+17382997376,PH000021,AD000021,1987-01-29,21,active
R0000043,CRM,Gloria,Bentley,gloria.bentley22@hotmail.com,EM000022,3116566701,PH000022,AD000022,1997-11-18,22,lapsed
R0000045,CRM,Kenjeth,Martinez,kenneth.martinez23@yahoo.com,EM000023,0651333872,PH000023,AD000023,1980-07-10,23,vip
R0000048,CRM,Andrew,Sanchez,andrew.sanchez25@yahoo.com,EM000025,8013267736,PH000025,AD000025,1965-04-30,25,vip
R0000051,CRM,Michelle,Cole,michelle.cole27@gmail.com,EM000027,7234309805,PH000027,AD000027,1998-07-05,27,vip
R0000052,CRM,Jason,Perry,jason.perry28@yahoo.com,EM000028,0097882081,PH000028,AD000028,2000-06-05,28,active
R0000057,CRM,Amy,norrison,amy.morrison29@gmail.com,EM000029,2191361939,PH000029,AD000029,1979-08-09,29,vip
R0000060,CRM,Debra,Harrington,debra.harrington31@hotmail.com,EM000031,+13534624751,PH000031,AD000031,1975-07-16,31,lapsed
R0000064,CRM,Gary,Lawson,gary.lawson32@hotmail.com,EM000032,+10799118384,PH000032,AD000032,1966-12-18,32,lapsed
R0000066,CRM,Curtis,Barton,curtis.barton33@hotmail.com,EM000033,251-354-2784,PH000033,AD000033,1957-08-14,33,lapsed
R0000068,CRM,Ryan,Cox,ryan.cox34@yahoo.com,EM000034,980-841-2411,PH000034,AD000034,1969-06-01,34,active
R0000070,CRM,Jennifer,Freeman,jennifer.freeman36@gmail.com,EM000036,7401640052,PH000036,AD000036,1987-11-21,36,active
R0000072,CRM,Mark,Warner,mark.warner37@yahoo.com,EM000037,4278680112,PH000037,AD000037,1957-04-11,37,lapsed
R0000075,CRM,Marissa,Phillips,marissa.phillips38@yahoo.com,EM000038,805-982-6204,PH000038,AD000038,1983-11-03,38,vip
R0000076,CRM,Curtis,Smith,curtis.smith39@yahoo.com,EM000039,+15053315869,PH000039,AD000039,1988-09-26,39,active
R0000077,CRM,Stacy,Miller,stacy.miller40@gmail.com,EM000040,232-260-2563,PH000040,AD000040,1979-08-14,40,vip
R0000081,CRM,Kevin,Oliver,kevin.oliver41@hotmail.com,EM000041,4216073375,PH000041,AD000041,1966-03-10,41,lapsed
R0000083,CRM,Brian,Sparks,brian.sparks43@hotmail.com,EM000043,+15868501429,PH000043,AD000043,1966-01-05,43,active
R0000085,CRM,Suzanne,Huff,suzanne.huff44@hotmail.com,EM000044,+14019655698,PH000044,AD000044,1993-08-19,44,lapsed
R0000089,CRM,Lisa,nosta,lisa.costa45@yahoo.com,EM000045,1693406088,PH000045,AD000045,1977-12-09,45,lapsed
R0000094,CRM,Anthony,Mccoy,anthony.mccoy47@gmail.com,EM000047,465-648-2366,PH000047,AD000047,1970-04-19,47,vip
R0000096,CRM,William,Hill,william.hill48@yahoo.com,EM000048,(299) 468-0443,PH000048,AD000048,1983-10-04,48,lapsed
R0000097,CRM,Michecle,Griffin,michelle.griffin49@yahoo.com,EM000049,6995777387,PH000049,AD000049,1976-09-16,49,vip
R0000100,CRM,Vanessa,Sparks,vanessa.sparks50@hotmail.com,EM000050,214-895-1343,PH000050,AD000050,1960-03-31,50,active
R0000102,CRM,Robert,Pena,robert.pena51@gmail.com,EM000051,320-037-9176,PH000051,AD000051,1952-11-17,51,active
R0000107,CRM,Erica,Moore,erica.moore54@yahoo.com,EM000054,+17889579868,PH000054,AD000054,1970-07-12,54,lapsed
