record_id,source_system,first_name,last_name,email,email_id,phone,phone_id,address_id,dob,ground_truth_id,last_ticket_subject
R0000000,SUPPORT,Danielle,Johnson,danielle.johnson0@yahoo.com,EM000000,(104) 332-1819,PH000000,AD000000,1963-12-20,0,account access
R0000004,SUPPORT,Jennifer,Milps,jennifer.miles1@yahoo.com,EM000001,600-133-8908,PH000001,AD000001,1957-01-06,1,account access
R0000007,SUPPORT,Mjchael,Cooper,michael.cooper2@yahoo.com,EM000002,(386) 379-4026,PH000002,AD000002,1965-12-11,2,tech issue
R0000008,SUPPORT,Kendra,Galloway,kendra.galloway3@gmail.com,EM000003,(542) 351-1615,PH000003,AD000003,1962-01-30,3,account access
R0000015,SUPPORT,John,Allen,john.allen8@hotmail.com,EM000008,8350305641,PH000008,AD000008,,8,account access
R0000019,SUPPORT,Hpnnah,Marquez,hannah.marquez9@yahoo.com,EM000009,395-376-7242,PH000009,AD000009,1972-12-02,9,billing question
R0000021,SUPPORT,Emily,Joyce,emily.joyce11@gmail.com,EM000011,(287) 101-2269,PH000011,AD000011,1980-08-04,11,feature request
R0000025,SUPPORT,Chbistopher,Lopez,christopher.lopez14@hotmail.com,EM000014,8281489325,PH000014,AD000014,,14,account access
R0000026,SUPPORT,James,Moran,james.moran15@gmail.com,EM000015,2880957015,PH000015,AD000015,1967-01-22,15,billing question
R0000028,SUPPORT,Mike,Moore,mike.moore16@hotmail.com,EM000016,(430) 391-1718,PH000016,AD000016,1973-10-08,16,account access
R0000029,SUPPORT,James,Walterp,james.walters17@yahoo.com,EM000017,(227) 824-8963,PH000017,AD000017,1960-07-30,17,account access
R0000033,SUPPORT,Amy,Davekport,amy.davenport18@hotmail.com,EM000018,(834) 657-8713,PH000018,AD000018,1978-02-02,18,billing question
R0000034,SUPPORT,Terri,Brady,terri.brady19@gmail.com,EM000019,3150983930,PH000019,AD000019,1981-10-04,19,feature request
R0000037,SUPPORT,Michael,Hoover,michael.hoover20@gmail.com,EM000020,103-105-1834,PH000020,AD000020,1958-04-14,20,feature request
R0000040,SUPPORT,Natalie,Green,natalie.green21@hotmail.com,EM000021,(738) 299-7376,PH000021,AD000021,1987-01-29,21,billing question
R0000044,SUPPORT,Gloria,Bentaey,gloria.bentley22@hotmail.com,EM000022,+13116566701,PH000022,AD000022,1997-11-18,22,feature request
R0000046,SUPPORT,Emma,Dixon,emma.dixon24@hotmail.com,EM000024,+16247317810,PH000024,AD000024,1960-06-18,24,tech issue
R0000049,SUPPORT,Gregory,Rubio,gregory.rubio26@hotmail.com,EM000026,+10260647468,PH000026,AD000026,2001-01-15,26,feature request
R0000053,SUPPORT,Jason,Perry,jason.perry28@yahoo.com,EM000028,0097882081,PH000028,AD000028,2000-06-05,28,tech issue
R0000055,SUPPORT,Amy,Morrison,amy.morrison29@gmail.com,EM000029,2191361939,PH000029,AD000029,1979-08-09,29,account access
R0000061,SUPPORT,Debra,Harrington,debra.harrington31@hotmail.com,EM000031,(353) 462-4751,PH000031,AD000031,1975-07-16,31,feature request
