entity_id,label,entity_type,wikidata_qid
ENT00000,Ethan Adams,person,Q3356986
ENT00001,HotPink White,product,Q32868928
ENT00002,"Walter, Edwards and Rios",organization,Q18728563
ENT00003,Thomas Ellis,person,Q90825167
ENT00004,Donaldside,place,Q11668832
ENT00005,Juliechester,place,Q56629488
ENT00006,Jennifer Robinson,person,Q3999415
ENT00007,Ms. Ann Williams MD,person,Q29345192
ENT00008,"Moore, Becker and Carlson",organization,Q67827738
ENT00009,Jamesmouth,place,Q3561697
ENT00010,Tashatown,place,Q26687637
ENT00011,Lake Nicoleview,place,Q56307097
ENT00012,"Peterson, Carter and Moore",organization,Q60291917
ENT00013,Lake Nancyview,place,Q37338224
ENT00014,Pamela Romero,person,Q21429210
ENT00015,Born Truth Quarterly,publication,Q45667751
ENT00016,Lime Thought,product,Q20868205
ENT00017,"Romero, Gonzalez and Brooks",organization,Q45177055
ENT00018,Troy Nielsen,person,Q12448236
ENT00019,Why A Quarterly,publication,Q12981152
ENT00020,MediumBlue Middle,product,Q46165055
ENT00021,North Sarahport,place,Q35503489
ENT00022,David Bradley,person,Q97943042
ENT00023,Bar Bed Quarterly,publication,Q71971416
ENT00024,Rose Spence,person,Q50806124
ENT00025,Beth Keller,person,Q74093739
ENT00026,FireBrick Evidence,product,Q84374705
ENT00027,Brandtside,place,Q48537931
ENT00028,Lake Larry,place,Q25808637
ENT00029,Marie Kim DDS,person,Q6150544
ENT00030,Wright Inc,organization,Q38841094
ENT00031,Kevin Hall,person,Q31244763
ENT00032,Benjamin Welch,person,Q51019778
ENT00033,Khaki Author,product,Q60855800
ENT00034,BlanchedAlmond Trade,product,Q21831163
ENT00035,MediumPurple Avoid,product,Q47683726
ENT00036,"Young, Caldwell and Lewis",organization,Q89949489
ENT00037,DarkSeaGreen Several,product,Q94196827
ENT00038,Laura Kennedy,person,Q81756279
ENT00039,Aguirre-Lee,organization,Q71691140
ENT00040,Hopkins LLC,organization,Q21931611
ENT00041,Land Item Quarterly,publication,Q50929747
ENT00042,SeaGreen Treat,product,Q85899413
ENT00043,Lake Deniseville,place,Q29476349
ENT00044,Chocolate Interesting,product,Q7507964
ENT00045,"Morgan, Hensley and Wright",organization,Q4308521
ENT00046,Gold Not,product,Q53843526
ENT00047,RosyBrown Challenge,product,Q8883784
ENT00048,White-Ford,organization,Q76125717
ENT00049,Crimson Level,product,Q28538351
ENT00050,System Training Quarterly,publication,Q53100914
ENT00051,Total Oil Quarterly,publication,Q19176000
ENT00052,DarkGreen Apply,product,Q18740964
ENT00053,"Kidd, Huff and Novak",organization,Q99990828
ENT00054,East Richard,place,Q72340407
ENT00055,SkyBlue Different,product,Q78461903
ENT00056,Treatment Institution Quarterly,publication,Q78320563
ENT00057,Weight Artist Quarterly,publication,Q48586440
ENT00058,Gray Group,organization,Q18566672
ENT00059,Saramouth,place,Q66238674
ENT00060,Michael Cross,person,Q6323952
ENT00061,Mary Tucker,person,Q20514114
ENT00062,Phillips Inc,organization,Q91332742
ENT00063,Particularly Simply Quarterly,publication,Q80048765
ENT00064,Nicole Brown,person,Q51642694
ENT00065,Pattern Me Quarterly,publication,Q79978890
ENT00066,Morning Wide Quarterly,publication,Q71016625
ENT00067,Wheat Coach,product,Q74252822
ENT00068,Jordan York,person,Q91306193
ENT00069,Barry Hensley,person,Q91497716
ENT00070,Wilsonshire,place,Q35812770
ENT00071,LightBlue Particular,product,Q14972379
ENT00072,BlueViolet President,product,Q58353304
ENT00073,Barnes PLC,organization,Q60897865
ENT00074,Emily Green,person,Q96917655
ENT00075,Maroon Edge,product,Q67187630
ENT00076,Foster-Powers,organization,Q68139980
ENT00077,Eugene Walton,person,Q83926471
ENT00078,Cornsilk Act,product,Q85758449
ENT00079,Howellshire,place,Q81734698
ENT00080,Jones and Sons,organization,Q20513839
ENT00081,Tan Evidence,product,Q21682844
ENT00082,West Nicole,place,Q71182964
ENT00083,Jaclyn Moore,person,Q80389081
ENT00084,YellowGreen Score,product,Q65579648
ENT00085,William Roman,person,Q15014731
ENT00086,Wheat Across,product,Q41273947
ENT00087,"Montoya, Evans and Alvarado",organization,Q7774684
ENT00088,Baker Inc,organization,Q76149459
ENT00089,Brittney Campbell,person,Q11496311
ENT00090,Develop Series Quarterly,publication,Q9289646
ENT00091,Jamesview,place,Q16879390
ENT00092,"Freeman, Whitehead and Mathis",organization,Q88550356
ENT00093,Best Protect Quarterly,publication,Q73793489
ENT00094,Calderon-Williams,organization,Q35575398
ENT00095,Kellieview,place,Q81415757
ENT00096,Color Site Quarterly,publication,Q28427173
ENT00097,Arnoldchester,place,Q97969789
ENT00098,"Smith, Jones and Ware",organization,Q95690491
ENT00099,DeepPink Offer,product,Q53551939
ENT00100,Blue They,product,Q58800897
ENT00101,Brandiberg,place,Q60597544
ENT00102,Andrew Diaz,person,Q33273428
ENT00103,Nolan and Sons,organization,Q8593510
ENT00104,LightBlue Reflect,product,Q2823270
ENT00105,West Kimberlychester,place,Q74346188
ENT00106,"Brady, Frost and Young",organization,Q78979195
ENT00107,Cherry and Sons,organization,Q965238
ENT00108,Allison Doyle,person,Q95004903
ENT00109,Timothy Pham,person,Q30728146
ENT00110,Rita Adams,person,Q4216275
ENT00111,DarkMagenta Idea,product,Q9510412
ENT00112,Port Thomasborough,place,Q31944541
ENT00113,Salmon Hard,product,Q89788777
ENT00114,Focus Tend Quarterly,publication,Q28754477
ENT00115,East Andrew,place,Q17758695
ENT00116,South Mark,place,Q77337918
ENT00117,Treatment Available Quarterly,publication,Q32614637
ENT00118,Spring Family Quarterly,publication,Q54634763
ENT00119,May-Ross,organization,Q12660294
ENT00120,Ms. Teresa Wilson,person,Q88447267
ENT00121,Every Could Quarterly,publication,Q47553114
ENT00122,Partner Evidence Quarterly,publication,Q55177313
ENT00123,American Boy Quarterly,publication,Q97855004
ENT00124,Haley Hartman,person,Q90377559
ENT00125,William Wilson,person,Q8135395
ENT00126,We Part Quarterly,publication,Q97739273
ENT00127,Gold Environmental,product,Q14665941
ENT00128,Fletcher Inc,organization,Q25714884
ENT00129,"Frost, Ryan and Ball",organization,Q71979155
ENT00130,Site Since Quarterly,publication,Q18815049
ENT00131,Religious Debate Quarterly,publication,Q24627447
ENT00132,Moccasin Lawyer,product,Q62092988
ENT00133,Rush LLC,organization,Q10118088
ENT00134,Price Former Quarterly,publication,Q73863513
ENT00135,Belinda Mccullough,person,Q6789950
ENT00136,Elizabethmouth,place,Q1980865
ENT00137,Edward Martinez,person,Q31726418
ENT00138,Ortega-Gray,organization,Q54548071
ENT00139,Smile Weight Quarterly,publication,Q64606933
ENT00140,Gilbert LLC,organization,Q53826816
ENT00141,Roy Torres,person,Q22097320
ENT00142,Develop Law Quarterly,publication,Q289389
ENT00143,Stock Particularly Quarterly,publication,Q35595051
ENT00144,Policy Real Quarterly,publication,Q38285603
ENT00145,Fund Make Quarterly,publication,Q93495028
ENT00146,Ramosborough,place,Q88834963
ENT00147,Much Material Quarterly,publication,Q20776578
ENT00148,"Jackson, Miller and Robertson",organization,Q39823550
ENT00149,"Harvey, Davis and Crane",organization,Q7849594
ENT00150,Lake Lance,place,Q98749072
ENT00151,East Andrew,place,Q8181686
ENT00152,LemonChiffon May,product,Q7672693
ENT00153,Patricia Gibson,person,Q78407089
ENT00154,Various Professional Quarterly,publication,Q67491535
ENT00155,Lake Heather,place,Q21130363
ENT00156,David Douglas Jr.,person,Q68159687
ENT00157,Patricia Rodriguez,person,Q24941104
ENT00158,Christopher Rubio,person,Q79864360
ENT00159,Amber Wright,person,Q90625594
ENT00160,Bryant Group,organization,Q54193937
ENT00161,Victoria Larson,person,Q76460639
ENT00162,Salazar-Ball,organization,Q77701300
ENT00163,Rivasside,place,Q5334135
ENT00164,Merrittfort,place,Q11003726
ENT00165,Listen Event Quarterly,publication,Q88231232
ENT00166,Port Dana,place,Q75863573
ENT00167,Simsview,place,Q42462541
ENT00168,Purple Bank,product,Q27415305
ENT00169,LightSlateGray Easy,product,Q32035986
ENT00170,LightPink Government,product,Q53121577
ENT00171,Orozco-Miller,organization,Q90152835
ENT00172,DeepPink During,product,Q61367743
ENT00173,OliveDrab Rule,product,Q9736672
ENT00174,Daniel Perry,person,Q61510141
ENT00175,Amychester,place,Q75563827
ENT00176,Ross Price,person,Q9832987
ENT00177,Port Nicoleshire,place,Q28609187
ENT00178,Woodsstad,place,Q35594697
ENT00179,Molina-Castaneda,organization,Q46843272
ENT00180,Jennifer Adkins,person,Q32787399
ENT00181,YellowGreen Such,product,Q38250460
ENT00182,"Hurst, Freeman and Nelson",organization,Q58812237
ENT00183,Johnsonmouth,place,Q94427630
ENT00184,PaleGreen Shake,product,Q82098099
ENT00185,Port Tanner,place,Q1050099
ENT00186,New Amanda,place,Q40182035
ENT00187,Leslie Alvarado,person,Q18024348
ENT00188,DarkBlue Question,product,Q15492673
ENT00189,Sean White,person,Q99645580
ENT00190,Nicholasborough,place,Q20863965
ENT00191,SaddleBrown General,product,Q37816786
ENT00192,Kathleenfurt,place,Q28270333
ENT00193,LightSeaGreen Soldier,product,Q27326468
ENT00194,PeachPuff Entire,product,Q67834955
ENT00195,They Beat Quarterly,publication,Q33705023
ENT00196,Paul Williams,person,Q12388190
ENT00197,Hard Door Quarterly,publication,Q37135491
ENT00198,Rachael Pearson,person,Q475994
ENT00199,Black End,product,Q17558417
ENT00200,Green Those,product,Q21687265
ENT00201,Again Pretty Quarterly,publication,Q74045392
ENT00202,Claim Edge Quarterly,publication,Q75283745
ENT00203,Michael Elliott,person,Q15015558
ENT00204,Michael Wang,person,Q92747183
ENT00205,Obrien Ltd,organization,Q73227989
ENT00206,Paula Martin,person,Q49555430
ENT00207,Danieltown,place,Q74158763
ENT00208,Johnston-Odonnell,organization,Q57685096
ENT00209,Sanders-Espinoza,organization,Q5614274
ENT00210,Crimson Person,product,Q48942797
ENT00211,Lori Garcia,person,Q48024442
ENT00212,Jefferson-Burke,organization,Q91545541
ENT00213,Hogan PLC,organization,Q89514387
ENT00214,Hannah Patterson,person,Q47470042
ENT00215,Caseymouth,place,Q54543149
ENT00216,Port Robertfort,place,Q20743897
ENT00217,Hamilton LLC,organization,Q21810717
ENT00218,"Snow, Stevens and Hernandez",organization,Q55337319
ENT00219,Joseph Santos,person,Q24073480
ENT00220,WhiteSmoke Stage,product,Q55259305
ENT00221,Marshall-Petersen,organization,Q35810156
ENT00222,"Adams, Christian and Rivas",organization,Q94124065
ENT00223,Stephen Sanchez,person,Q51343980
ENT00224,Leonard Gray,person,Q63175045
ENT00225,Snyder LLC,organization,Q26786311
ENT00226,Court Method Quarterly,publication,Q46930459
ENT00227,HotPink Hear,product,Q30547449
ENT00228,Peterson-Beard,organization,Q3176286
ENT00229,"Beard, Peters and Black",organization,Q53481298
ENT00230,Gold Bed,product,Q37393569
ENT00231,Jason Peters,person,Q37463622
ENT00232,LawnGreen Rock,product,Q86098321
ENT00233,Brewerfort,place,Q53644024
ENT00234,Mcguireland,place,Q44446282
ENT00235,Jared Sanchez,person,Q15481007
ENT00236,NavajoWhite Material,product,Q23967066
ENT00237,Ronaldside,place,Q35630392
ENT00238,Michael Nelson,person,Q14549643
ENT00239,Jerryborough,place,Q58326260
ENT00240,Maroon Call,product,Q97783762
ENT00241,WhiteSmoke Sound,product,Q58571895
ENT00242,East Javier,place,Q68642141
ENT00243,Dr. William Warren,person,Q51700155
ENT00244,Tinaborough,place,Q25512041
ENT00245,LightYellow Dream,product,Q5957559
ENT00246,Herself Country Quarterly,publication,Q227099
ENT00247,Alexisside,place,Q72269903
ENT00248,Hill Inc,organization,Q48885078
ENT00249,On Final Quarterly,publication,Q9391825
ENT00250,DarkSalmon Pull,product,Q83638603
ENT00251,SlateGray Board,product,Q89038459
ENT00252,Laura Harrison,person,Q96603881
ENT00253,Purple Grow,product,Q68064930
ENT00254,GhostWhite Approach,product,Q89508950
ENT00255,Entire Yeah Quarterly,publication,Q43779628
ENT00256,Training Mean Quarterly,publication,Q93577829
ENT00257,DarkOrange Term,product,Q74412083
ENT00258,Morales Inc,organization,Q25748441
ENT00259,Part Professional Quarterly,publication,Q89245417
ENT00260,Rich Argue Quarterly,publication,Q90908175
ENT00261,Hernandez PLC,organization,Q82613113
ENT00262,Christopherbury,place,Q40392908
ENT00263,By Open Quarterly,publication,Q73542987
ENT00264,Lisa Gibbs,person,Q40785505
ENT00265,Ivory Stand,product,Q28210342
ENT00266,Necessary Husband Quarterly,publication,Q77844339
ENT00267,Kerrport,place,Q87873201
ENT00268,Pink Focus,product,Q62409758
ENT00269,Outside Pressure Quarterly,publication,Q59345783
ENT00270,Lynch Ltd,organization,Q68608712
ENT00271,Bit Yourself Quarterly,publication,Q98779173
ENT00272,Garrett LLC,organization,Q88429550
ENT00273,Brooke Thompson,person,Q38089266
ENT00274,East Aaronmouth,place,Q89101053
ENT00275,Carterbury,place,Q44988306
ENT00276,Douglas Heath,person,Q31523629
ENT00277,Cornsilk Right,product,Q30150859
ENT00278,Bradshaw Ltd,organization,Q19777614
ENT00279,Regina Gonzalez,person,Q6202800
ENT00280,Stephens Ltd,organization,Q63771820
ENT00281,West Margaret,place,Q9774939
ENT00282,Away As Quarterly,publication,Q55625430
ENT00283,Port Kyle,place,Q26096755
ENT00284,Smile Thank Quarterly,publication,Q66354280
ENT00285,Outside Will Quarterly,publication,Q32747137
ENT00286,Gonzales-Harrison,organization,Q88054715
ENT00287,James Nelson,person,Q14306004
ENT00288,Notice Minute Quarterly,publication,Q29372460
ENT00289,Miller-Williams,organization,Q93403797
ENT00290,Navarroview,place,Q62350930
