customer_id,first_name,last_name,email,phone,dob,gender,address,city,state,zip,signup_date,segment
CUS000000,Lisa,Schmidt,lisa.schmidt0@yahoo.com,616-688-0887,1993-10-13,M,47178 Jonathan Light Suite 030,Lake Robert,NJ,94999,2024-11-12,private_banking
CUS000001,Phillip,Hall,phillip.hall1@gmail.com,579-367-8150,1983-10-13,F,7134 Morris Brook,Jimstad,HI,03769,2025-03-21,student
CUS000002,Emily,Foster,emily.foster2@gmail.com,029-337-4388,1998-02-07,M,6201 Justin Cliffs,Edwardview,IL,12227,2026-05-15,student
CUS000003,Kevin,Washington,kevin.washington3@hotmail.com,753-999-9206,1964-06-27,F,82230 Jill Via,North Debbietown,PR,95922,2024-05-02,standard
CUS000004,Rhonda,Wolf,rhonda.wolf4@yahoo.com,261-230-2968,2004-05-09,X,9922 Jordan Estate,Jasonburgh,VT,27281,2023-08-28,student
CUS000005,Alyssa,Ramirez,alyssa.ramirez5@yahoo.com,032-286-6437,1957-12-28,X,636 White Lights Apt. 023,North Margarettown,VA,87146,2022-07-15,student
CUS000006,Kimberly,Miller,kimberly.miller6@hotmail.com,877-197-3779,1974-11-09,M,138 Sharp Wall Apt. 657,North Kristinchester,OR,66669,2023-04-06,private_banking
CUS000007,Chad,Hayes,chad.hayes7@gmail.com,335-977-2564,1982-03-07,F,33133 Kelly Vista,Patriciabury,CT,38230,2022-12-25,standard
CUS000008,Ann,Reed,ann.reed8@yahoo.com,331-411-2657,2001-09-27,F,573 Hernandez Locks,East Devin,AZ,25181,2022-04-17,premium
CUS000009,Scott,Waters,scott.waters9@gmail.com,654-185-5479,1946-12-11,F,6406 Dennis Streets Apt. 261,Gonzalezmouth,KY,82067,2023-05-13,private_banking
CUS000010,Heather,Pace,heather.pace10@gmail.com,601-335-6010,1976-04-02,F,39895 Danielle Lane Apt. 140,Mayburgh,VA,83651,2025-07-28,private_banking
CUS000011,Alexander,Marshall,alexander.marshall11@hotmail.com,576-855-2546,1988-05-14,M,269 Elizabeth Grove Apt. 624,Lake Jessicafurt,AZ,58676,2022-05-09,premium
CUS000012,Cassandra,Hill,cassandra.hill12@gmail.com,422-796-3583,2004-04-13,M,531 Lane Field Apt. 640,Lake Courtney,CA,13411,2025-06-25,premium
CUS000013,Joyce,Spencer,joyce.spencer13@gmail.com,430-385-6705,1991-01-31,X,564 Winters Mission,North Steventown,MA,29345,2021-08-19,student
CUS000014,Jose,Young,jose.young14@yahoo.com,667-928-6526,1981-01-07,F,11168 Christine Inlet,Henrychester,SC,48176,2022-06-01,student
CUS000015,Anne,Curtis,anne.curtis15@yahoo.com,024-117-7401,1959-10-02,F,6325 Margaret Neck,North Lauren,FM,42198,2024-11-14,premium
CUS000016,Brittany,Brown,brittany.brown16@hotmail.com,296-642-8976,1997-07-15,M,675 Regina Villages Suite 437,Donaldtown,DC,61640,2025-01-03,standard
CUS000017,Travis,Hernandez,travis.hernandez17@hotmail.com,262-334-7637,1986-02-19,F,986 Gonzalez Estate,New Feliciafurt,WV,63143,2022-11-08,student
CUS000018,Hunter,Phillips,hunter.phillips18@yahoo.com,472-075-0049,1948-07-17,X,693 Lynch Forges Apt. 842,North Bryanfurt,MI,37147,2022-07-18,premium
CUS000019,Richard,Carlson,richard.carlson19@gmail.com,777-095-9251,1963-12-02,F,72183 Bennett Springs Apt. 192,North Jennifer,FM,85525,2024-02-15,student
CUS000020,Jason,Nguyen,jason.nguyen20@hotmail.com,566-184-1273,1958-08-29,X,11886 Sheryl Unions,Youngshire,TX,76601,2022-02-27,standard
CUS000021,Manuel,Clark,manuel.clark21@yahoo.com,607-383-5589,1964-10-07,F,6174 David Ridge Suite 291,Davidside,NM,26364,2024-05-15,standard
